"algor","algor_props_alpha","algor_props_beta","algor_props_clustercount","algor_props_distance","algor_props_hypersvaryonquery","algor_props_iterations","algor_props_kmeans_distance","algor_props_kmeans_iterations","algor_props_proposalstdev","algor_props_samplehypers","algor_props_usekmeans","burn_in","cat_groups","chain_count","clusters","command","cross_folds","dataset","dict_size","iters","job","max_word","min_freq","min_word","output_file","sample_lag","seed","start_time","stem","stop","overall","perplexity","run_time_mins"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","25","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-10.log","20","314159265","2013/03/06 15:22:29","True","True","1491.0640086321698","1491.0640086321698","490.1333333328366"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","30","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-11.log","20","314159265","2013/03/06 15:22:29","True","True","1487.0206648111034","1487.0206648111034","562.3166666664183"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","35","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-12.log","20","314159265","2013/03/06 15:22:59","True","True","1444.711304004798","1444.711304004798","659.3166666664183"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","40","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-13.log","20","314159265","2013/03/06 15:22:59","True","True","1455.6507679318431","1455.6507679318431","739.8999999985099"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","50","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-14.log","20","314159265","2013/03/06 15:23:59","True","True","1401.9836120682398","1401.9836120682398","932.7666666656733"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","4","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-2.log","20","314159265","2013/03/06 15:19:27","True","True","1783.6615888774213","1783.6615888774213","138.33333333581686"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","5","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-3.log","20","314159265","2013/03/06 15:19:27","True","True","1760.983414620017","1760.983414620017","189.15000000223517"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","6","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-4.log","20","314159265","2013/03/06 15:19:57","True","True","1714.2066536557852","1714.2066536557852","158.1833333335817"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","8","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-5.log","20","314159265","2013/03/06 15:19:57","True","True","1696.867962700089","1696.867962700089","242.58333333581686"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","10","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-6.log","20","314159265","2013/03/06 15:19:57","True","True","1654.5419545101515","1654.5419545101515","258.4666666686535"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","12","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-7.log","20","314159265","2013/03/06 15:19:57","True","True","1601.7468033159273","1601.7468033159273","286.1000000014901"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","15","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-8.log","20","314159265","2013/03/06 15:20:57","True","True","1550.8300451698535","1550.8300451698535","327.33333333581686"
"LdaColGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","20","topic","3","nips","50000","6000","","","","","nips-ldagibbs-job-9.log","20","314159265","2013/03/06 15:21:58","True","True","1516.989850627177","1516.989850627177","400.73333333432674"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","2","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-0.log","20","314159265","2013/03/06 15:29:59","True","True","1987.3004041928443","1987.3004041928443","61.183333333581686"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","3","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-1.log","20","314159265","2013/03/06 15:29:59","True","True","1983.0930523671557","1983.0930523671557","77.03333333134651"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","25","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-10.log","20","314159265","2013/03/06 15:39:49","True","True","1901.686993983296","1901.686993983296","351.1000000014901"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","30","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-11.log","20","314159265","2013/03/06 15:39:50","True","True","1911.9952523792017","1911.9952523792017","412.25"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","35","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-12.log","20","314159265","2013/03/06 15:40:19","True","True","1881.050413910866","1881.050413910866","473.1000000014901"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","40","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-13.log","20","314159265","2013/03/06 15:40:49","True","True","1881.2195635222238","1881.2195635222238","531.8166666664183"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","50","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-14.log","20","314159265","2013/03/06 15:44:33","True","True","1885.410734501471","1885.410734501471","651.8000000007451"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","60","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-15.log","20","314159265","2013/03/06 15:44:50","True","True","1874.744070180117","1874.744070180117","805.3666666671634"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","70","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-16.log","20","314159265","2013/03/06 15:45:19","True","True","1807.183869964038","1807.183869964038","880.5666666664183"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","4","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-2.log","20","314159265","2013/03/06 15:30:28","True","True","1979.0607366590646","1979.0607366590646","92.91666666790843"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","5","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-3.log","20","314159265","2013/03/06 15:30:28","True","True","1966.0622531044874","1966.0622531044874","75.90000000223517"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","6","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-4.log","20","314159265","2013/03/06 15:31:59","True","True","1960.1131307560938","1960.1131307560938","121.13333333283663"
