algor,clusters,dataset,iters,perplexity
MultinomialMixtureCvb,3,20newsclean,400,1800.020541
MultinomialMixtureCvb,3,20newsclean,400,1933.034671
MultinomialMixtureCvb,3,20newsclean,400,1950.990022
MultinomialMixtureCvb,4,20newsclean,400,1909.67549
MultinomialMixtureCvb,4,20newsclean,400,1940.669698
MultinomialMixtureCvb,4,20newsclean,400,1983.783958
MultinomialMixtureCvb,5,20newsclean,400,1882.247426
MultinomialMixtureCvb,5,20newsclean,400,1921.786668
MultinomialMixtureCvb,5,20newsclean,400,1937.984312
MultinomialMixtureCvb,6,20newsclean,400,1926.258095
MultinomialMixtureCvb,6,20newsclean,400,1948.669051
MultinomialMixtureCvb,6,20newsclean,400,1985.765042
MultinomialMixtureCvb,8,20newsclean,400,1811.386207
MultinomialMixtureCvb,8,20newsclean,400,1891.975518
MultinomialMixtureCvb,8,20newsclean,400,1930.57481
MultinomialMixtureCvb,10,20newsclean,400,1858.217974
MultinomialMixtureCvb,10,20newsclean,400,1879.822546
MultinomialMixtureCvb,10,20newsclean,400,1921.343241
MultinomialMixtureCvb,12,20newsclean,400,1815.373915
MultinomialMixtureCvb,12,20newsclean,400,1922.181091
MultinomialMixtureCvb,12,20newsclean,400,1952.170517
MultinomialMixtureCvb,15,20newsclean,400,1914.311181
MultinomialMixtureCvb,15,20newsclean,400,1920.617244
MultinomialMixtureCvb,15,20newsclean,400,1998.565269
MultinomialMixtureCvb,20,20newsclean,400,1853.624129
MultinomialMixtureCvb,20,20newsclean,400,1905.320079
MultinomialMixtureCvb,20,20newsclean,400,1915.733887
MultinomialMixtureCvb,25,20newsclean,400,1851.674145
MultinomialMixtureCvb,25,20newsclean,400,1944.20999
MultinomialMixtureCvb,25,20newsclean,400,2009.219506
MultinomialMixtureCvb,30,20newsclean,400,1848.24984
MultinomialMixtureCvb,30,20newsclean,400,1939.507024
MultinomialMixtureCvb,30,20newsclean,400,1968.523481
MultinomialMixtureCvb,35,20newsclean,400,1888.868026
MultinomialMixtureCvb,35,20newsclean,400,1933.603984
MultinomialMixtureCvb,35,20newsclean,400,1956.480794
MultinomialMixtureCvb,40,20newsclean,400,1872.450209
MultinomialMixtureCvb,40,20newsclean,400,1961.596122
MultinomialMixtureCvb,40,20newsclean,400,1976.843151
MultinomialMixtureCvb,50,20newsclean,400,1852.96109
MultinomialMixtureCvb,50,20newsclean,400,1899.851005
MultinomialMixtureCvb,50,20newsclean,400,1940.789856
MultinomialMixtureCvb,60,20newsclean,400,1856.796552
MultinomialMixtureCvb,60,20newsclean,400,1894.20532
MultinomialMixtureCvb,60,20newsclean,400,1895.512743
MultinomialMixtureCvb,70,20newsclean,400,1876.069357
MultinomialMixtureCvb,70,20newsclean,400,1957.213198
MultinomialMixtureCvb,80,20newsclean,400,1856.327868
MultinomialMixtureCvb,80,20newsclean,400,1922.971697
MultinomialMixtureCvb,90,20newsclean,400,1892.374896
MultinomialMixtureCvb,90,20newsclean,400,1914.314118
MultinomialMixtureCvb,100,20newsclean,400,1791.737533
MultinomialMixtureCvb,100,20newsclean,400,1922.789663
MultinomialMixtureCvb,125,20newsclean,400,1807.911106
MultinomialMixtureCvb,125,20newsclean,400,1821.684677
MultinomialMixtureCvb,150,20newsclean,400,1903.717615
MultinomialMixtureCvb,150,20newsclean,400,1952.334525
MultinomialMixtureCvb,175,20newsclean,400,1876.932247
MultinomialMixtureCvb,175,20newsclean,400,1889.310271
MultinomialMixtureCvb,200,20newsclean,400,1775.435577
MultinomialMixtureCvb,200,20newsclean,400,1778.747461
MultinomialMixtureCvb,250,20newsclean,400,1768.911703
MultinomialMixtureCvb,250,20newsclean,400,1846.665091
MultinomialMixtureCvb,2,nips,400,1897.124276
MultinomialMixtureCvb,3,nips,400,1872.699499
MultinomialMixtureCvb,4,nips,400,1924.242063
MultinomialMixtureCvb,5,nips,400,1887.017055
MultinomialMixtureCvb,6,nips,400,1852.50794
MultinomialMixtureCvb,8,nips,400,1865.455188
MultinomialMixtureCvb,10,nips,400,1861.661954
MultinomialMixtureCvb,12,nips,400,1845.664802
MultinomialMixtureCvb,15,nips,400,1848.083929
MultinomialMixtureCvb,20,nips,400,1843.406763
MultinomialMixtureCvb,25,nips,400,1848.646044
MultinomialMixtureCvb,30,nips,400,1896.181272
MultinomialMixtureCvb,35,nips,400,1838.305745
MultinomialMixtureCvb,40,nips,400,1831.995098
MultinomialMixtureCvb,50,nips,400,1836.456136
MultinomialMixtureCvb,60,nips,400,1821.884946
MultinomialMixtureCvb,70,nips,400,1873.901564
MultinomialMixtureCvb,80,nips,400,1848.608468
MultinomialMixtureCvb,90,nips,400,1871.582135
MultinomialMixtureCvb,100,nips,200,1825.079594
MultinomialMixtureCvb,100,nips,200,1847.498241
MultinomialMixtureCvb,125,nips,200,1795.509876
MultinomialMixtureCvb,125,nips,200,1838.486987
MultinomialMixtureCvb,150,nips,200,1856.931429
MultinomialMixtureCvb,175,nips,200,1758.671757
MultinomialMixtureCvb,175,nips,200,1758.671757
MultinomialMixtureCvb,200,nips,200,1847.115245
MultinomialMixtureCvb,200,nips,200,1847.115245
MultinomialMixtureCvb,250,nips,200,1840.845303
MultinomialMixtureCvb,250,nips,200,1840.845303
MultinomialMixtureCvb,2,reuters,400,1664.995058
MultinomialMixtureCvb,3,reuters,600,1655.724495
MultinomialMixtureCvb,4,reuters,600,1522.361033
MultinomialMixtureCvb,5,reuters,600,1508.214676
MultinomialMixtureCvb,6,reuters,600,1476.771775
MultinomialMixtureCvb,8,reuters,600,1492.345597
MultinomialMixtureCvb,10,reuters,600,1479.881205
MultinomialMixtureCvb,12,reuters,200,1421.839104
MultinomialMixtureCvb,12,reuters,200,1479.403523
MultinomialMixtureCvb,15,reuters,600,1424.730412
MultinomialMixtureCvb,20,reuters,600,1452.993148
MultinomialMixtureCvb,30,reuters,600,1467.699163
MultinomialMixtureCvb,35,reuters,200,1443.649885
MultinomialMixtureCvb,35,reuters,200,1515.455999
MultinomialMixtureCvb,40,reuters,600,1458.942693
MultinomialMixtureCvb,50,reuters,600,1472.748855
MultinomialMixtureCvb,60,reuters,400,1414.469801
MultinomialMixtureCvb,70,reuters,400,1438.3956
MultinomialMixtureCvb,80,reuters,400,1463.48393
MultinomialMixtureCvb,90,reuters,400,1475.532841
MultinomialMixtureCvb,100,reuters,400,1401.046135
MultinomialMixtureCvb,125,reuters,400,1406.490289
MultinomialMixtureCvb,150,reuters,200,1425.084565
MultinomialMixtureCvb,150,reuters,200,1442.48093
MultinomialMixtureCvb,175,reuters,200,1420.368416
MultinomialMixtureCvb,175,reuters,200,1420.753411
MultinomialMixtureCvb,200,reuters,200,1410.217061
MultinomialMixtureCvb,200,reuters,200,1456.051634
MultinomialMixtureCvb,250,reuters,200,1392.641342
MultinomialMixtureCvb,250,reuters,200,1415.65647
MultinomialMixtureGibbs,2,20newsclean,4000,1791.814371
MultinomialMixtureGibbs,2,20newsclean,4000,1858.557509
MultinomialMixtureGibbs,2,20newsclean,4000,1866.087071
MultinomialMixtureGibbs,3,20newsclean,4000,1831.591296
MultinomialMixtureGibbs,3,20newsclean,4000,1860.630334
MultinomialMixtureGibbs,3,20newsclean,4000,1875.958506
MultinomialMixtureGibbs,4,20newsclean,4000,1863.755192
MultinomialMixtureGibbs,4,20newsclean,4000,1910.942059
MultinomialMixtureGibbs,4,20newsclean,4000,1952.477489
MultinomialMixtureGibbs,5,20newsclean,4000,1917.77739
MultinomialMixtureGibbs,5,20newsclean,4000,1922.35801
MultinomialMixtureGibbs,5,20newsclean,4000,1933.629952
MultinomialMixtureGibbs,6,20newsclean,4000,1889.450777
MultinomialMixtureGibbs,6,20newsclean,4000,1899.633196
MultinomialMixtureGibbs,6,20newsclean,4000,1904.504434
MultinomialMixtureGibbs,8,20newsclean,4000,1900.134407
MultinomialMixtureGibbs,8,20newsclean,4000,1901.61528
MultinomialMixtureGibbs,8,20newsclean,4000,1921.786823
MultinomialMixtureGibbs,10,20newsclean,4000,1900.637386
MultinomialMixtureGibbs,10,20newsclean,4000,1911.212854
MultinomialMixtureGibbs,10,20newsclean,4000,1925.09005
MultinomialMixtureGibbs,12,20newsclean,4000,1881.448879
MultinomialMixtureGibbs,12,20newsclean,4000,1894.616319
MultinomialMixtureGibbs,12,20newsclean,4000,1905.279345
MultinomialMixtureGibbs,15,20newsclean,4000,1870.841963
MultinomialMixtureGibbs,15,20newsclean,4000,1870.933854
MultinomialMixtureGibbs,15,20newsclean,4000,1989.295692
MultinomialMixtureGibbs,20,20newsclean,4000,1832.513203
MultinomialMixtureGibbs,20,20newsclean,4000,1870.289373
MultinomialMixtureGibbs,20,20newsclean,4000,1901.118961
MultinomialMixtureGibbs,25,20newsclean,4000,1798.34951
MultinomialMixtureGibbs,25,20newsclean,4000,1838.212495
MultinomialMixtureGibbs,25,20newsclean,4000,1864.697987
MultinomialMixtureGibbs,30,20newsclean,4000,1805.971031
MultinomialMixtureGibbs,30,20newsclean,4000,1820.554241
MultinomialMixtureGibbs,30,20newsclean,4000,1911.084778
MultinomialMixtureGibbs,35,20newsclean,4000,1784.29932
MultinomialMixtureGibbs,35,20newsclean,4000,1784.651736
MultinomialMixtureGibbs,35,20newsclean,4000,1986.787648
MultinomialMixtureGibbs,40,20newsclean,4000,1736.972728
MultinomialMixtureGibbs,40,20newsclean,4000,1784.49727
MultinomialMixtureGibbs,40,20newsclean,4000,1838.167555
MultinomialMixtureGibbs,50,20newsclean,4000,1688.925755
MultinomialMixtureGibbs,50,20newsclean,4000,1773.570165
MultinomialMixtureGibbs,50,20newsclean,4000,1914.804943
MultinomialMixtureGibbs,60,20newsclean,4000,1654.392438
MultinomialMixtureGibbs,60,20newsclean,4000,1707.7405
MultinomialMixtureGibbs,60,20newsclean,4000,1836.645602
MultinomialMixtureGibbs,70,20newsclean,4000,1657.173575
MultinomialMixtureGibbs,70,20newsclean,4000,1887.639074
MultinomialMixtureGibbs,80,20newsclean,4000,1666.434631
MultinomialMixtureGibbs,80,20newsclean,4000,1892.378657
MultinomialMixtureGibbs,90,20newsclean,4000,1649.916546
MultinomialMixtureGibbs,90,20newsclean,4000,1835.486501
MultinomialMixtureGibbs,100,20newsclean,4000,1658.43524
MultinomialMixtureGibbs,100,20newsclean,4000,1922.433672
MultinomialMixtureGibbs,125,20newsclean,4000,1594.377401
MultinomialMixtureGibbs,125,20newsclean,4000,1900.90691
MultinomialMixtureGibbs,150,20newsclean,4000,1553.445907
MultinomialMixtureGibbs,150,20newsclean,4000,1949.419016
MultinomialMixtureGibbs,175,20newsclean,4000,1530.586607
MultinomialMixtureGibbs,175,20newsclean,4000,1899.8871
MultinomialMixtureGibbs,200,20newsclean,4000,1556.424945
MultinomialMixtureGibbs,200,20newsclean,4000,1956.620606
MultinomialMixtureGibbs,250,20newsclean,4000,1538.749219
MultinomialMixtureGibbs,250,20newsclean,4000,1910.920759
MultinomialMixtureGibbs,2,nips,6000,1987.300404
MultinomialMixtureGibbs,3,nips,6000,1983.093052
MultinomialMixtureGibbs,4,nips,6000,1979.060737
MultinomialMixtureGibbs,5,nips,6000,1966.062253
MultinomialMixtureGibbs,6,nips,6000,1960.113131
MultinomialMixtureGibbs,8,nips,6000,1923.277852
MultinomialMixtureGibbs,10,nips,6000,1929.476616
MultinomialMixtureGibbs,12,nips,6000,1925.073558
MultinomialMixtureGibbs,15,nips,6000,1922.203357
MultinomialMixtureGibbs,20,nips,6000,1930.054879
MultinomialMixtureGibbs,25,nips,6000,1901.686994
MultinomialMixtureGibbs,30,nips,6000,1911.995252
MultinomialMixtureGibbs,35,nips,6000,1881.050414
MultinomialMixtureGibbs,40,nips,6000,1881.219564
