Dataset,Algor,K,P,Tperp,Qperp,
Tweets,STM_bohning,25,25,879,931.464,
Tweets,STM_bohning,50,25,685,753.119,
Tweets,STM_bohning,75,25,596,683.321,
Tweets,STM_bohning,100,25,563,664.406,
Tweets,STM_bohning,125,25,542,651.4,
Tweets,STM_bohning,150,25,545,670.11,
Tweets,STM_bohning,10,50,1302,1355.977,
Tweets,STM_bohning,25,50,835,879.542,
Tweets,STM_bohning,50,50,573,616.711,
Tweets,STM_bohning,75,50,476,526.241,
Tweets,STM_bohning,100,50,425,483.422,
Tweets,STM_bohning,125,50,396,458.838,
Tweets,STM_bohning,150,50,387,457.017,
Tweets,STM_bohning,10,75,1308,1362.796,
Tweets,STM_bohning,25,75,824,870.082,
Tweets,STM_bohning,50,75,543,585.047,
Tweets,STM_bohning,75,75,450,493.48,
Tweets,STM_bohning,100,75,399,448.065,
Tweets,STM_bohning,125,75,362,422.813,
Tweets,STM_bohning,150,75,336,400.1,
Tweets,STM_bohning,10,100,1307,1363.424,
Tweets,STM_bohning,25,100,829,878.379,
Tweets,STM_bohning,50,100,543,584.66,
Tweets,STM_bohning,75,100,431,471.01,
Tweets,STM_bohning,100,100,384,432.616,
Tweets,STM_bohning,125,100,353,412.687,
Tweets,STM_bohning,150,100,329,400.774,
Tweets,CTM_bouchard,10,-1,1991.37,3216.3,
Tweets,CTM_bouchard,25,-1,2096.53,2864.003,
Tweets,CTM_bouchard,50,-1,2281.99,2828.763,
Tweets,CTM_bouchard,75,-1,2359.53,2828.271,
Tweets,CTM_bouchard,100,-1,2443.57,2872.842,
Tweets,CTM_bouchard,125,-1,2356.05,2925.687,
Tweets,CTM_bouchard,150,-1,2497.9,2931.349,
Tweets,STM_bouchard,10,10,1899.83,1972.34,
Tweets,STM_bouchard,25,10,1809.19,1868.603,
Tweets,STM_bouchard,50,10,1800.68,1860.655,
Tweets,STM_bouchard,75,10,1741.09,1799.255,
Tweets,STM_bouchard,100,10,1765.58,1820.353,
Tweets,STM_bouchard,125,10,1763.15,1819.188,
Tweets,STM_bouchard,150,10,1743.86,1800.091,
Tweets,STM_bouchard,10,25,1895.82,1963.439,
Tweets,STM_bouchard,25,25,1632.3,1760.423,
Tweets,STM_bouchard,50,25,1588.8,1697.792,
Tweets,STM_bouchard,75,25,1560.08,1664.078,
Tweets,STM_bouchard,100,25,1561.93,1657.703,
Tweets,STM_bouchard,125,25,1544.86,1642.957,
Tweets,STM_bouchard,150,25,1525.05,1634.611,
Tweets,STM_bouchard,10,50,1902.14,1968.483,
Tweets,STM_bouchard,25,50,1617.6,1762.111,
Tweets,STM_bouchard,50,50,1491,1667.177,
Tweets,STM_bouchard,75,50,1450.67,1632.396,
Tweets,STM_bouchard,100,50,1437.73,1598.197,
Tweets,STM_bouchard,125,50,1422.98,1577.915,
Tweets,STM_bouchard,150,50,1416.52,1562.611,
Tweets,STM_bouchard,10,75,1885.86,1948.544,
Tweets,STM_bouchard,25,75,1639.81,1747.584,
Tweets,STM_bouchard,50,75,1489.62,1685.133,
Tweets,STM_bouchard,75,75,1401.78,1632.239,
Tweets,STM_bouchard,100,75,1412.01,1627.973,
Tweets,STM_bouchard,125,75,1371.65,1607.911,
Tweets,STM_bouchard,150,75,1364.88,1577.971,
Tweets,STM_bouchard,10,100,1880.65,1947.729,
Tweets,STM_bouchard,25,100,1626.67,1722.876,
Tweets,STM_bouchard,50,100,1501.02,1635.252,
Tweets,STM_bouchard,75,100,1430.69,1600.218,
Tweets,STM_bouchard,100,100,1370.68,1622.463,
Tweets,STM_bouchard,125,100,1354.41,1607.348,
Tweets,STM_bouchard,150,100,1344.37,1606.047,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
